UPC,CALENDAR_DATE,UNITS_SUM,D_MEAN,PR_MEAN,DISCOUNT_MEAN
00-02-28400-06404,2011-01-31T00:00:00.000Z,2460,1.0769230769230769,1.0,0.23846153846153847
00-03-28400-08290,2011-01-31T00:00:00.000Z,116,0.2,0.0,0.0
00-03-41780-00118,2011-01-31T00:00:00.000Z,347,0.5833333333333334,1.0,0.33166666666666667
08-01-43571-00015,2011-01-31T00:00:00.000Z,215,0.0,0.0,0.0
00-02-28400-08292,2011-01-31T00:00:00.000Z,152,0.5454545454545454,0.0,0.0
00-06-41780-00011,2011-01-31T00:00:00.000Z,570,0.7692307692307693,1.0,0.33
00-02-77817-11150,2011-01-31T00:00:00.000Z,161,0.0,0.0,0.0
00-02-28400-06408,2011-01-31T00:00:00.000Z,8660,1.0769230769230769,1.0,0.20846153846153845
00-01-20685-00029,2011-02-07T00:00:00.000Z,13,0.0,0.0,0.0
00-03-28400-08290,2011-02-07T00:00:00.000Z,112,0.3,0.0,0.005
00-03-41780-00118,2011-02-07T00:00:00.000Z,158,0.3333333333333333,0.0,0.0
00-02-28400-06406,2011-02-07T00:00:00.000Z,688,0.16666666666666666,0.9166666666666666,0.2016666666666667
00-02-28400-06404,2011-02-07T00:00:00.000Z,1328,0.6153846153846154,0.9230769230769231,0.22461538461538463
00-06-41780-00011,2011-02-07T00:00:00.000Z,140,0.7692307692307693,0.0,0.0
00-02-28400-01109,2011-02-07T00:00:00.000Z,454,0.0,0.0,0.0
00-02-28400-06405,2011-02-07T00:00:00.000Z,1166,0.46153846153846156,0.9230769230769231,0.22461538461538463
00-01-77975-08003,2011-02-07T00:00:00.000Z,170,0.6,1.0,0.16
00-01-28400-08295,2011-02-07T00:00:00.000Z,146,0.0,0.0,0.0
00-02-77817-11150,2011-02-07T00:00:00.000Z,185,0.0,0.0,0.0
08-01-29515-30220,2011-02-07T00:00:00.000Z,158,0.0,0.0,0.0
00-02-28400-06408,2011-02-07T00:00:00.000Z,5068,1.0769230769230769,0.07692307692307693,0.019230769230769232
08-01-43571-00015,2011-02-07T00:00:00.000Z,159,0.16666666666666666,0.0,0.0
00-01-72600-00562,2011-02-07T00:00:00.000Z,773,0.6666666666666666,0.3333333333333333,0.19999999999999998
00-02-28400-08292,2011-02-07T00:00:00.000Z,154,0.5,0.0,0.0033333333333333335
00-02-28400-01109,2011-02-14T00:00:00.000Z,508,0.0,0.0,0.0
00-01-28400-08295,2011-02-14T00:00:00.000Z,168,0.0,0.0,0.0
08-01-43571-00015,2011-02-14T00:00:00.000Z,154,0.16666666666666666,0.0,0.0
00-02-28400-06404,2011-02-14T00:00:00.000Z,1214,1.0769230769230769,0.9230769230769231,0.22461538461538463
00-01-77975-08003,2011-02-14T00:00:00.000Z,181,0.4,0.2,0.025
00-01-72600-00562,2011-02-14T00:00:00.000Z,631,0.8333333333333334,0.9166666666666666,0.23
08-01-29515-30220,2011-02-14T00:00:00.000Z,200,0.0,0.0,0.0
00-01-20685-00027,2011-02-14T00:00:00.000Z,3,0.0,0.0,0.0
00-06-41780-00011,2011-02-14T00:00:00.000Z,146,0.7692307692307693,0.0,0.11307692307692307
00-01-20685-00029,2011-02-14T00:00:00.000Z,22,0.0,0.0,0.0
00-03-41780-00118,2011-02-14T00:00:00.000Z,121,0.6666666666666666,0.08333333333333333,0.085
00-03-28400-08290,2011-02-14T00:00:00.000Z,316,0.18181818181818182,1.0,0.23999999999999996
00-02-28400-06408,2011-02-14T00:00:00.000Z,3134,1.3076923076923077,0.07692307692307693,0.019230769230769232
00-02-77817-11150,2011-02-14T00:00:00.000Z,162,0.0,0.0,0.0
00-02-28400-08292,2011-02-14T00:00:00.000Z,316,0.4166666666666667,1.0,0.24
00-02-28400-06406,2011-02-14T00:00:00.000Z,610,0.3333333333333333,0.9166666666666666,0.2016666666666667
00-02-28400-06405,2011-02-14T00:00:00.000Z,932,0.6923076923076923,0.9230769230769231,0.22461538461538463
00-02-77817-11150,2011-02-21T00:00:00.000Z,131,0.0,0.0,0.0
00-06-41780-00011,2011-02-21T00:00:00.000Z,159,0.7692307692307693,0.0,0.0
08-01-43571-00015,2011-02-21T00:00:00.000Z,177,0.16666666666666666,0.0,0.0
00-02-28400-06408,2011-02-21T00:00:00.000Z,1586,0.8461538461538461,0.0,0.0
00-01-72600-00562,2011-02-21T00:00:00.000Z,1600,0.8333333333333334,1.0,0.4008333333333333
00-03-41780-00118,2011-02-21T00:00:00.000Z,124,0.6666666666666666,0.08333333333333333,0.0075
00-01-77975-08003,2011-02-21T00:00:00.000Z,166,0.2,0.2,0.037
00-02-28400-06404,2011-02-21T00:00:00.000Z,752,0.6923076923076923,0.0,0.0
00-02-28400-06406,2011-02-21T00:00:00.000Z,330,0.16666666666666666,0.08333333333333333,-0.013333333333333334
00-02-28400-01109,2011-02-21T00:00:00.000Z,522,0.0,0.0,0.0
00-01-28400-08295,2011-02-21T00:00:00.000Z,158,0.0,0.0,0.0
00-02-28400-08292,2011-02-21T00:00:00.000Z,158,0.4444444444444444,0.5555555555555556,0.09
00-01-20685-00027,2011-02-21T00:00:00.000Z,17,0.0,0.0,0.0
00-03-28400-08290,2011-02-21T00:00:00.000Z,174,0.18181818181818182,0.8181818181818182,0.09
00-02-28400-06405,2011-02-21T00:00:00.000Z,490,0.23076923076923078,0.0,0.0
08-01-29515-30220,2011-02-21T00:00:00.000Z,152,0.0,0.0,0.0
